Pueblo,Cod_CCAA,Población,Hombres,Mujeres,Españoles,Extranjeros,Area,Longuitud,menores,edad_laboral,jubilados,porcentaje_hombres,porcentaje_mujeres,porcenjate_españoles,poetentaje_extranjeros
Alegría-Dulantzi,16,2913.0,1512.0,1401.0,2653.0,260.0,37092694.3803711,48191.5687507891,633.0,1805.0,265.0,51.905252317198766,48.094747682801234,91.07449364915894,8.925506350841058
Amurrio,16,10291.0,5101.0,5190.0,9684.0,607.0,179911448.023315,90623.6217726267,1327.0,6253.0,1798.0,49.567583325235645,50.432416674764355,94.10164221164125,5.89835778835876
Aramaio,16,1496.0,791.0,705.0,1475.0,21.0,137706565.232788,58592.9152521766,259.0,860.0,259.0,52.87433155080213,47.12566844919786,98.59625668449198,1.4037433155080214
Artziniega,16,1829.0,914.0,915.0,1760.0,69.0,51300778.0618896,31498.5235735303,292.0,1114.0,233.0,49.97266265718972,50.02733734281028,96.22744669218152,3.77255330781848
Armiñón,16,239.0,128.0,111.0,224.0,15.0,23802884.9614258,33293.8051314875,40.0,157.0,25.0,53.55648535564853,46.44351464435147,93.72384937238493,6.2761506276150625
Arratzua-Ubarrundia,16,976.0,528.0,448.0,951.0,25.0,107422965.777832,89972.9346568566,163.0,601.0,151.0,54.09836065573771,45.90163934426229,97.43852459016394,2.5614754098360657
Asparrena,16,1640.0,823.0,817.0,1539.0,101.0,118008144.299561,70669.9683627182,236.0,1018.0,244.0,50.18292682926829,49.81707317073171,93.84146341463413,6.158536585365853
Ayala/Aiara,16,2969.0,1508.0,1461.0,2925.0,44.0,264340322.000244,88663.1906048576,517.0,1803.0,382.0,50.79151229370158,49.20848770629841,98.51801953519703,1.481980464802964
Baños de Ebro/Mañueta,16,306.0,167.0,139.0,266.0,40.0,17206801.4051514,24650.5913499016,38.0,178.0,67.0,54.57516339869281,45.42483660130719,86.9281045751634,13.071895424836603
Barrundia,16,898.0,502.0,396.0,860.0,38.0,182865233.657959,80734.486695226,141.0,552.0,140.0,55.90200445434298,44.097995545657014,95.7683741648107,4.231625835189309
Berantevilla,16,443.0,236.0,207.0,423.0,20.0,66683914.6107178,52853.5387181633,50.0,244.0,119.0,53.27313769751692,46.72686230248307,95.48532731376976,4.514672686230249
Bernedo,16,504.0,299.0,205.0,475.0,29.0,242393761.949707,117556.984722387,57.0,292.0,110.0,59.32539682539682,40.67460317460318,94.24603174603175,5.753968253968254
Campezo/Kanpezu,16,1048.0,556.0,492.0,988.0,60.0,157734528.150513,71370.0562094473,132.0,615.0,216.0,53.05343511450382,46.94656488549619,94.27480916030534,5.7251908396946565
Zigoitia,16,1766.0,960.0,806.0,1728.0,38.0,190689591.034546,66723.0457553177,272.0,1115.0,257.0,54.36013590033974,45.63986409966025,97.84824462061155,2.1517553793884483
Kripan,16,184.0,98.0,86.0,180.0,4.0,23011611.2879639,22267.6970472027,32.0,100.0,41.0,53.2608695652174,46.73913043478261,97.82608695652173,2.1739130434782608
Elburgo/Burgelu,16,607.0,319.0,288.0,581.0,26.0,58413461.4197998,82503.2328131241,97.0,407.0,61.0,52.55354200988468,47.44645799011532,95.71663920922569,4.2833607907743
Elciego,16,1030.0,514.0,516.0,946.0,84.0,29992060.4100342,29558.8090946258,150.0,595.0,202.0,49.90291262135923,50.09708737864078,91.84466019417475,8.155339805825243
Elvillar/Bilar,16,353.0,173.0,180.0,309.0,44.0,32204126.9266357,30286.9684281893,53.0,202.0,67.0,49.008498583569406,50.991501416430594,87.53541076487252,12.464589235127479
Iruraiz-Gauna,16,530.0,289.0,241.0,513.0,17.0,87194894.6077881,114753.554339001,80.0,345.0,71.0,54.52830188679245,45.47169811320755,96.79245283018868,3.207547169811321
Labastida/Bastida,16,1454.0,762.0,692.0,1306.0,148.0,70850387.3392334,48359.731260737,246.0,861.0,239.0,52.40715268225584,47.59284731774415,89.82118294360384,10.178817056396149
Lagrán,16,166.0,92.0,74.0,165.0,1.0,89520962.2371826,58787.1577008622,8.0,91.0,49.0,55.42168674698795,44.57831325301205,99.3975903614458,0.6024096385542169
Laguardia,16,1474.0,763.0,711.0,1352.0,122.0,148369417.789795,119147.907969117,182.0,920.0,255.0,51.76390773405699,48.236092265943014,91.72320217096338,8.276797829036635
Lanciego/Lantziego,16,673.0,345.0,328.0,587.0,86.0,44584271.2518311,36774.7986367253,91.0,378.0,135.0,51.2630014858841,48.736998514115896,87.22139673105498,12.778603268945021
Lapuebla de Labarca,16,859.0,448.0,411.0,771.0,88.0,10959950.4561768,16735.2607436848,121.0,515.0,146.0,52.15366705471478,47.84633294528521,89.75552968568103,10.244470314318974
Leza,16,203.0,100.0,103.0,178.0,25.0,17913393.8140869,23028.1755469184,25.0,109.0,44.0,49.26108374384236,50.73891625615764,87.68472906403942,12.31527093596059
Laudio/Llodio,16,18133.0,8965.0,9168.0,17355.0,778.0,70349200.8509521,37884.403475596,2254.0,10683.0,3880.0,49.440247063365135,50.55975293663486,95.70947995367561,4.290520046324381
Arraia-Maeztu,16,725.0,404.0,321.0,685.0,40.0,227871650.579468,82782.1583818794,88.0,424.0,140.0,55.72413793103448,44.275862068965516,94.48275862068965,5.517241379310345
Moreda de Álava/Moreda Araba,16,230.0,115.0,115.0,216.0,14.0,16183707.9893799,16818.8585661347,19.0,146.0,42.0,50.0,50.0,93.91304347826087,6.086956521739131
Navaridas,16,226.0,132.0,94.0,175.0,51.0,16570925.7728271,16391.7528931103,28.0,153.0,32.0,58.4070796460177,41.5929203539823,77.43362831858407,22.566371681415927
Okondo,16,1155.0,600.0,555.0,1103.0,52.0,57443600.3828125,48032.7465722322,167.0,737.0,152.0,51.94805194805194,48.05194805194805,95.4978354978355,4.5021645021645025
Oyón-Oion,16,3338.0,1693.0,1645.0,2995.0,343.0,83114292.5828857,57838.5950261764,651.0,1965.0,425.0,50.71899340922709,49.28100659077292,89.72438585979629,10.275614140203714
Erriberagoitia/Ribera Alta,16,736.0,420.0,316.0,711.0,25.0,222726030.474365,114217.030697307,110.0,460.0,115.0,57.065217391304344,42.934782608695656,96.60326086956522,3.3967391304347823
Ribera Baja/Erribera Beitia,16,1375.0,748.0,627.0,1236.0,139.0,47067025.0131836,42082.1120440055,271.0,862.0,136.0,54.400000000000006,45.6,89.89090909090909,10.10909090909091
Añana,16,156.0,89.0,67.0,151.0,5.0,40306810.6470947,29416.2703912319,10.0,100.0,30.0,57.05128205128205,42.94871794871795,96.7948717948718,3.205128205128205
Salvatierra/Agurain,16,5025.0,2502.0,2523.0,4479.0,546.0,70426090.1112061,51730.5488226241,808.0,3099.0,620.0,49.791044776119406,50.2089552238806,89.13432835820896,10.865671641791044
Samaniego,16,323.0,163.0,160.0,303.0,20.0,15917589.767334,22381.4960890663,37.0,183.0,64.0,50.464396284829725,49.53560371517028,93.80804953560371,6.191950464396285
San Millán/Donemiliaga,16,709.0,394.0,315.0,693.0,16.0,158417662.770874,150265.39898709,91.0,431.0,116.0,55.57122708039493,44.42877291960507,97.74330042313117,2.2566995768688294
Urkabustaiz,16,1330.0,699.0,631.0,1222.0,108.0,113992453.021362,52090.0860227991,233.0,836.0,139.0,52.55639097744361,47.443609022556394,91.8796992481203,8.1203007518797
Valdegovía/Gaubea,16,996.0,557.0,439.0,918.0,78.0,443525330.053955,143717.730123467,100.0,598.0,234.0,55.92369477911646,44.07630522088353,92.16867469879519,7.83132530120482
Harana/Valle de Arana,16,232.0,132.0,100.0,230.0,2.0,70919294.8565674,52653.1420528267,14.0,120.0,68.0,56.896551724137936,43.103448275862064,99.13793103448276,0.8620689655172413
Villabuena de Álava/Eskuernaga,16,300.0,152.0,148.0,267.0,33.0,15642386.5118408,19091.7622027225,30.0,179.0,70.0,50.66666666666667,49.333333333333336,89.0,11.0
Legutio,16,1800.0,960.0,840.0,1693.0,107.0,86196976.2635498,51874.7918295428,250.0,1141.0,278.0,53.333333333333336,46.666666666666664,94.05555555555556,5.944444444444445
Vitoria-Gasteiz,16,246976.0,120500.0,126476.0,225133.0,21843.0,516113836.560547,152167.794890578,34875.0,149588.0,42370.0,48.79016584607411,51.20983415392589,91.15582080849961,8.844179191500388
Yécora/Iekora,16,270.0,139.0,131.0,236.0,34.0,34352679.2023926,29572.0368403076,44.0,154.0,49.0,51.48148148148148,48.51851851851852,87.4074074074074,12.592592592592592
Zalduondo,16,190.0,106.0,84.0,188.0,2.0,25675816.8215332,28752.9753397318,31.0,122.0,22.0,55.78947368421052,44.21052631578947,98.94736842105263,1.0526315789473684
Zambrana,16,383.0,208.0,175.0,359.0,24.0,73225020.909668,60540.5340785672,46.0,243.0,59.0,54.308093994778076,45.69190600522193,93.73368146214099,6.266318537859007
Zuia,16,2316.0,1191.0,1125.0,2234.0,82.0,228929621.215942,69830.2642195443,459.0,1386.0,331.0,51.42487046632125,48.575129533678755,96.45941278065631,3.540587219343696
Iruña Oka/Iruña de Oca,16,3264.0,1683.0,1581.0,3052.0,212.0,99445060.3132324,48448.1025326586,617.0,2091.0,323.0,51.5625,48.4375,93.50490196078431,6.495098039215687
Lantarón,16,899.0,502.0,397.0,846.0,53.0,126006607.683716,87101.3535333559,110.0,563.0,166.0,55.83982202447163,44.16017797552836,94.10456062291435,5.89543937708565
Abengibre,8,748.0,359.0,389.0,709.0,39.0,51326771.1646118,32589.190450559,58.0,453.0,182.0,47.99465240641711,52.00534759358288,94.78609625668449,5.213903743315508
Alatoz,8,555.0,309.0,246.0,503.0,52.0,106111393.977722,48006.6440598654,53.0,282.0,157.0,55.67567567567567,44.32432432432433,90.63063063063062,9.36936936936937
Albacete,8,172816.0,84507.0,88309.0,164743.0,8073.0,1890077857.54553,316172.515893923,28171.0,108922.0,22773.0,48.899986112396995,51.100013887603005,95.32855754096843,4.671442459031571
Albatana,8,698.0,362.0,336.0,679.0,19.0,50015543.6690674,28900.1642759426,78.0,384.0,161.0,51.862464183381086,48.13753581661891,97.27793696275072,2.722063037249284
Alborea,8,697.0,357.0,340.0,623.0,74.0,120454624.071289,46911.7543375744,79.0,405.0,145.0,51.21951219512195,48.78048780487805,89.38307030129124,10.616929698708752
Alcadozo,8,662.0,361.0,301.0,653.0,9.0,163569187.803223,68783.3421368303,84.0,347.0,180.0,54.53172205438066,45.468277945619334,98.64048338368579,1.3595166163141994
Alcalá del Júcar,8,1202.0,642.0,560.0,1116.0,86.0,244721816.723633,66481.5082538292,102.0,687.0,285.0,53.41098169717138,46.58901830282861,92.84525790349417,7.154742096505824
Alcaraz,8,1414.0,721.0,693.0,1367.0,47.0,609630060.802368,370651.86350461,177.0,829.0,273.0,50.99009900990099,49.00990099009901,96.67609618104667,3.3239038189533243
Almansa,8,24566.0,12226.0,12340.0,23576.0,990.0,878009860.627869,119740.51457287,3768.0,15363.0,3633.0,49.76797199381259,50.23202800618741,95.9700398925344,4.029960107465603
Alpera,8,2290.0,1189.0,1101.0,2133.0,157.0,295829935.931152,72903.2825668379,332.0,1325.0,447.0,51.92139737991266,48.07860262008734,93.14410480349345,6.855895196506551
Ayna,8,672.0,360.0,312.0,656.0,16.0,240490211.368469,84054.0598857863,30.0,331.0,251.0,53.57142857142857,46.42857142857143,97.61904761904762,2.380952380952381
Balazote,8,2350.0,1205.0,1145.0,2221.0,129.0,107687273.038574,40805.630601377,384.0,1424.0,383.0,51.276595744680854,48.723404255319146,94.51063829787233,5.48936170212766
Balsa de Ves,8,136.0,80.0,56.0,119.0,17.0,127529964.787231,51031.6611870349,14.0,58.0,48.0,58.82352941176471,41.17647058823529,87.5,12.5
"Ballestero, El",8,414.0,213.0,201.0,402.0,12.0,228963990.164795,63436.8590492591,40.0,243.0,96.0,51.449275362318836,48.55072463768116,97.10144927536231,2.898550724637681
Barrax,8,1872.0,950.0,922.0,1737.0,135.0,315063298.120605,68152.2934310845,320.0,1147.0,288.0,50.74786324786324,49.25213675213676,92.78846153846155,7.211538461538461
Bienservida,8,615.0,322.0,293.0,610.0,5.0,148493705.695435,71987.7796149674,58.0,389.0,123.0,52.357723577235774,47.642276422764226,99.1869918699187,0.8130081300813009
Bogarra,8,908.0,478.0,430.0,892.0,16.0,272092075.927612,98700.53681472,61.0,426.0,309.0,52.6431718061674,47.3568281938326,98.23788546255507,1.762114537444934
Bonete,8,1103.0,562.0,541.0,934.0,169.0,206704747.093933,71607.6734316201,137.0,682.0,190.0,50.951949229374435,49.048050770625565,84.67815049864006,15.321849501359926
"Bonillo, El",8,2852.0,1464.0,1388.0,2778.0,74.0,832066514.067261,198588.512969415,400.0,1693.0,560.0,51.332398316970554,48.66760168302945,97.40532959326788,2.5946704067321176
Carcelén,8,521.0,286.0,235.0,492.0,29.0,125332500.151794,49715.2099501759,61.0,237.0,178.0,54.894433781190024,45.105566218809976,94.43378119001919,5.566218809980806
Casas de Juan Núñez,8,1291.0,679.0,612.0,1160.0,131.0,147945998.664124,57004.7258536037,187.0,751.0,248.0,52.59488768396592,47.40511231603408,89.85282726568552,10.147172734314484
Casas de Lázaro,8,358.0,203.0,155.0,351.0,7.0,184964975.540771,90847.9479770229,23.0,194.0,115.0,56.70391061452514,43.296089385474865,98.04469273743017,1.9553072625698324
Casas de Ves,8,628.0,328.0,300.0,593.0,35.0,208878818.767151,87804.406541158,62.0,340.0,156.0,52.22929936305732,47.77070063694268,94.42675159235668,5.573248407643312
Casas-Ibáñez,8,4558.0,2323.0,2235.0,4047.0,511.0,172657747.574951,72490.0075529362,683.0,2759.0,728.0,50.96533567354102,49.03466432645897,88.78894251864853,11.211057481351471
Caudete,8,10010.0,5091.0,4919.0,9116.0,894.0,232884172.094391,63633.4896321382,1575.0,6083.0,1470.0,50.85914085914086,49.14085914085914,91.06893106893106,8.93106893106893
Cenizate,8,1192.0,603.0,589.0,996.0,196.0,105775299.459473,45531.1147905028,174.0,696.0,199.0,50.58724832214765,49.41275167785235,83.55704697986577,16.44295302013423
Corral-Rubio,8,342.0,184.0,158.0,331.0,11.0,156197169.121277,54364.047151841,27.0,192.0,91.0,53.80116959064327,46.198830409356724,96.78362573099415,3.216374269005848
Cotillas,8,130.0,66.0,64.0,127.0,3.0,23610166.7408447,20180.7109736218,9.0,75.0,34.0,50.76923076923077,49.23076923076923,97.6923076923077,2.307692307692308
Chinchilla de Monte-Aragón,8,4213.0,2193.0,2020.0,4003.0,210.0,1123948565.65356,210869.669616574,598.0,2726.0,554.0,52.05316876335153,47.94683123664847,95.01542843579396,4.984571564206029
Elche de la Sierra,8,3666.0,1840.0,1826.0,3597.0,69.0,391132884.50238,107320.140554953,533.0,2192.0,650.0,50.190943807965084,49.809056192034916,98.1178396072013,1.8821603927986905
Férez,8,678.0,338.0,340.0,654.0,24.0,205626235.783569,72676.3317116996,94.0,359.0,164.0,49.852507374631266,50.14749262536873,96.46017699115043,3.5398230088495577
Fuensanta,8,313.0,174.0,139.0,294.0,19.0,39993227.2589722,34066.5428715169,20.0,180.0,90.0,55.59105431309904,44.40894568690096,93.9297124600639,6.070287539936102
Fuente-Álamo,8,2531.0,1331.0,1200.0,2246.0,285.0,219370510.327515,58461.6233748329,394.0,1474.0,463.0,52.58790991702884,47.41209008297116,88.73962860529436,11.26037139470565
Fuentealbilla,8,1843.0,925.0,918.0,1609.0,234.0,180825588.361328,83638.6888773854,258.0,1102.0,327.0,50.18990775908845,49.81009224091156,87.30330982094411,12.696690179055887
"Gineta, La",8,2457.0,1258.0,1199.0,2327.0,130.0,227456905.008179,64000.8747893825,349.0,1573.0,331.0,51.2006512006512,48.7993487993488,94.70899470899471,5.291005291005291
Golosalvo,8,110.0,59.0,51.0,103.0,7.0,47030429.0172119,31664.8772629487,7.0,64.0,26.0,53.63636363636364,46.36363636363636,93.63636363636364,6.363636363636363
Hellín,8,30184.0,15061.0,15123.0,28214.0,1970.0,1276055869.90259,191605.353590649,5168.0,18607.0,4221.0,49.89729658097005,50.10270341902995,93.47336337132256,6.526636628677444
"Herrera, La",8,341.0,177.0,164.0,297.0,44.0,104962128.523071,54264.8585345456,23.0,213.0,75.0,51.90615835777126,48.09384164222874,87.09677419354838,12.903225806451612
Higueruela,8,1196.0,619.0,577.0,1155.0,41.0,340337489.27179,111104.310215716,162.0,667.0,277.0,51.75585284280937,48.24414715719064,96.57190635451505,3.4280936454849495
Hoya-Gonzalo,8,643.0,344.0,299.0,623.0,20.0,189764472.272949,61862.7857513498,73.0,368.0,161.0,53.499222395023324,46.500777604976676,96.8895800933126,3.1104199066874028
Jorquera,8,378.0,205.0,173.0,375.0,3.0,113209520.264038,73764.598408561,32.0,190.0,115.0,54.232804232804234,45.767195767195766,99.20634920634922,0.7936507936507936
Letur,8,948.0,461.0,487.0,936.0,12.0,428850840.545593,104486.670361818,110.0,547.0,205.0,48.628691983122366,51.371308016877634,98.73417721518987,1.2658227848101267
Lezuza,8,1412.0,729.0,683.0,1350.0,62.0,597609325.987549,110927.767819489,153.0,824.0,334.0,51.628895184135985,48.37110481586402,95.60906515580736,4.390934844192635
Liétor,8,1240.0,646.0,594.0,1226.0,14.0,510121466.21814,100814.857080923,134.0,691.0,311.0,52.09677419354839,47.90322580645161,98.87096774193549,1.129032258064516
Madrigueras,8,4647.0,2391.0,2256.0,4356.0,291.0,122356458.542358,46291.620525517,632.0,2768.0,863.0,51.452550032278886,48.547449967721114,93.73789541639768,6.262104583602324
Mahora,8,1360.0,698.0,662.0,1303.0,57.0,180345094.41571,62028.4485173749,194.0,806.0,251.0,51.3235294117647,48.67647058823529,95.80882352941177,4.191176470588235
Masegoso,8,115.0,63.0,52.0,115.0,0.0,170895734.810059,55054.7321980142,4.0,56.0,45.0,54.78260869565217,45.21739130434783,100.0,0.0
Minaya,8,1538.0,809.0,729.0,1369.0,169.0,116509221.946411,57002.5031914635,166.0,903.0,336.0,52.60078023407022,47.39921976592978,89.01170351105333,10.988296488946684
Molinicos,8,863.0,442.0,421.0,850.0,13.0,234739828.084595,91821.2473568347,64.0,440.0,261.0,51.216685979142525,48.783314020857475,98.4936268829664,1.5063731170336037
Montalvos,8,102.0,56.0,46.0,101.0,1.0,41304535.4959106,30252.3753944942,5.0,58.0,26.0,54.90196078431373,45.09803921568628,99.01960784313727,0.9803921568627451
Montealegre del Castillo,8,2057.0,1043.0,1014.0,1937.0,120.0,292853653.557861,70445.0830263805,276.0,1189.0,399.0,50.70491006319884,49.29508993680117,94.16626154594069,5.83373845405931
Motilleja,8,549.0,293.0,256.0,521.0,28.0,39681754.3295898,31850.2707586361,58.0,319.0,120.0,53.36976320582878,46.63023679417122,94.89981785063752,5.100182149362477
Munera,8,3572.0,1817.0,1755.0,3513.0,59.0,381326132.729492,75749.6335533725,522.0,2070.0,702.0,50.867861142217244,49.132138857782756,98.34826427771557,1.6517357222844344
Navas de Jorquera,8,523.0,270.0,253.0,429.0,94.0,70632745.624939,33661.1065783519,54.0,314.0,113.0,51.625239005736134,48.37476099426386,82.02676864244742,17.97323135755258
Nerpio,8,1277.0,700.0,577.0,1266.0,11.0,705684507.410645,124766.408974195,159.0,696.0,301.0,54.8159749412686,45.1840250587314,99.13860610806577,0.8613938919342208
Ontur,8,2072.0,1037.0,1035.0,1989.0,83.0,89224442.9472046,39029.6498016873,266.0,1182.0,446.0,50.04826254826254,49.95173745173745,95.9942084942085,4.005791505791506
Ossa de Montiel,8,2411.0,1191.0,1220.0,2343.0,68.0,403394404.512939,89017.0012838046,291.0,1431.0,485.0,49.39858979676483,50.601410203235176,97.17959352965575,2.8204064703442553
Paterna del Madera,8,359.0,192.0,167.0,353.0,6.0,184138542.774536,69088.1803296054,24.0,200.0,97.0,53.48189415041783,46.51810584958218,98.32869080779945,1.6713091922005572
Peñascosa,8,328.0,177.0,151.0,325.0,3.0,310924518.423279,136135.18710945,19.0,196.0,77.0,53.963414634146346,46.03658536585366,99.08536585365853,0.9146341463414633
Peñas de San Pedro,8,1436.0,836.0,600.0,1423.0,13.0,261301055.324707,94057.8029260713,99.0,907.0,345.0,58.21727019498607,41.78272980501393,99.09470752089136,0.9052924791086351
Pétrola,8,719.0,368.0,351.0,688.0,31.0,123035043.203247,52421.9183575584,66.0,399.0,189.0,51.18219749652295,48.817802503477054,95.6884561891516,4.3115438108484
Povedilla,8,452.0,243.0,209.0,441.0,11.0,81284929.2497559,45607.3493579827,39.0,264.0,101.0,53.76106194690266,46.23893805309734,97.56637168141593,2.433628318584071
Pozohondo,8,1653.0,865.0,788.0,1621.0,32.0,224579248.07959,63234.202071905,173.0,927.0,403.0,52.32909860859044,47.67090139140956,98.06412583182093,1.9358741681790685
Pozo-Lorente,8,414.0,215.0,199.0,402.0,12.0,134453390.938416,46981.7253741137,27.0,226.0,118.0,51.93236714975845,48.06763285024155,97.10144927536231,2.898550724637681
Pozuelo,8,514.0,271.0,243.0,511.0,3.0,220668357.887573,62132.1348856873,50.0,305.0,120.0,52.723735408560316,47.276264591439684,99.41634241245137,0.5836575875486382
"Recueja, La",8,260.0,135.0,125.0,251.0,9.0,49515497.6357422,50384.9236367933,31.0,118.0,82.0,51.92307692307693,48.07692307692308,96.53846153846153,3.4615384615384617
Riópar,8,1391.0,712.0,679.0,1357.0,34.0,132253069.1875,71043.1342052653,160.0,861.0,245.0,51.18619698058951,48.81380301941049,97.55571531272466,2.4442846872753416
Robledo,8,366.0,200.0,166.0,361.0,5.0,197873137.880249,66242.7883574398,42.0,223.0,75.0,54.644808743169406,45.3551912568306,98.63387978142076,1.366120218579235
"Roda, La",8,15603.0,7887.0,7716.0,13937.0,1666.0,664448078.427246,164703.268258665,2487.0,9652.0,2215.0,50.547971543933855,49.452028456066145,89.32256617317182,10.677433826828175
Salobre,8,523.0,277.0,246.0,463.0,60.0,81158056.2698975,50295.816323173,71.0,245.0,159.0,52.96367112810707,47.03632887189293,88.52772466539197,11.47227533460803
San Pedro,8,1179.0,600.0,579.0,1128.0,51.0,137003959.999512,47552.160212579,146.0,720.0,236.0,50.89058524173028,49.10941475826972,95.67430025445293,4.325699745547073
Socovos,8,1788.0,915.0,873.0,1748.0,40.0,225654362.171753,82783.420866658,197.0,1031.0,405.0,51.174496644295296,48.8255033557047,97.76286353467562,2.237136465324385
Tarazona de la Mancha,8,6363.0,3221.0,3142.0,5909.0,454.0,354881104.658142,87084.7770045899,1035.0,3741.0,1078.0,50.620776363350615,49.37922363664938,92.86500078579286,7.134999214207135
Tobarra,8,7754.0,3941.0,3813.0,7002.0,752.0,533098031.559509,102031.68228949,1208.0,4569.0,1325.0,50.825380448800615,49.174619551199385,90.30177972659273,9.698220273407273
Valdeganga,8,1958.0,999.0,959.0,1910.0,48.0,117730163.234924,55163.0201089421,231.0,1120.0,419.0,51.021450459652705,48.978549540347295,97.5485188968335,2.4514811031664965
Vianos,8,359.0,185.0,174.0,359.0,0.0,209833480.62854,117000.247348445,32.0,213.0,75.0,51.532033426183844,48.467966573816156,100.0,0.0
Villa de Ves,8,59.0,33.0,26.0,59.0,0.0,95921522.3162231,45696.3466419377,5.0,34.0,13.0,55.932203389830505,44.06779661016949,100.0,0.0
Villalgordo del Júcar,8,1125.0,592.0,533.0,1078.0,47.0,78125682.3140259,42325.7884537721,135.0,649.0,239.0,52.62222222222223,47.37777777777778,95.82222222222222,4.177777777777777
Villamalea,8,4124.0,2068.0,2056.0,3413.0,711.0,214377873.308044,82171.0583170377,621.0,2481.0,660.0,50.14548981571289,49.8545101842871,82.75945683802134,17.24054316197866
Villapalacios,8,594.0,309.0,285.0,575.0,19.0,143306209.152222,53021.0923237949,53.0,345.0,140.0,52.02020202020202,47.97979797979798,96.8013468013468,3.1986531986531985
Villarrobledo,8,25317.0,12541.0,12776.0,22546.0,2771.0,1437751510.12915,181643.93432405,4253.0,15536.0,3585.0,49.53588497847296,50.464115021527036,89.05478532211558,10.945214677884426
Villatoya,8,107.0,63.0,44.0,106.0,1.0,31496872.6416016,28050.9210764392,5.0,62.0,29.0,58.87850467289719,41.1214953271028,99.06542056074767,0.9345794392523363
Villavaliente,8,219.0,129.0,90.0,218.0,1.0,57960964.6860352,39334.6387262086,14.0,116.0,69.0,58.9041095890411,41.0958904109589,99.54337899543378,0.45662100456621
Villaverde de Guadalimar,8,349.0,183.0,166.0,343.0,6.0,126342732.12207,61166.5143251597,30.0,208.0,84.0,52.43553008595988,47.56446991404012,98.28080229226362,1.7191977077363898
Viveros,8,338.0,175.0,163.0,336.0,2.0,107779459.153687,58399.4449030202,22.0,196.0,86.0,51.77514792899408,48.22485207100592,99.40828402366864,0.591715976331361
Yeste,8,2742.0,1402.0,1340.0,2721.0,21.0,832248934.559204,153920.326322463,251.0,1403.0,798.0,51.13056163384391,48.86943836615609,99.23413566739606,0.7658643326039387
Pozo Cañada,8,2800.0,1409.0,1391.0,2717.0,83.0,167393754.751038,80776.6634447909,454.0,1645.0,464.0,50.32142857142857,49.67857142857143,97.03571428571428,2.9642857142857144
Adsubia,10,664.0,349.0,315.0,386.0,278.0,24235066.5817642,23611.4665896882,50.0,334.0,245.0,52.56024096385542,47.43975903614458,58.13253012048193,41.86746987951807
Agost,10,4703.0,2343.0,2360.0,4347.0,356.0,108727746.031006,51098.0950667398,714.0,2862.0,763.0,49.81926429938337,50.18073570061663,92.43036359770359,7.569636402296406
Agres,10,549.0,292.0,257.0,507.0,42.0,42585276.6299591,26352.4181659629,64.0,328.0,116.0,53.18761384335154,46.81238615664845,92.34972677595628,7.650273224043716
Aigües,10,913.0,478.0,435.0,709.0,204.0,30204067.3108521,26372.5860766957,127.0,557.0,184.0,52.354874041621024,47.64512595837897,77.65607886089813,22.343921139101862
Albatera,10,11850.0,6062.0,5788.0,9770.0,2080.0,100178973.333649,44821.8550088051,2121.0,7356.0,1466.0,51.15611814345991,48.84388185654009,82.44725738396625,17.552742616033758
Alcalalí,10,1276.0,631.0,645.0,593.0,683.0,23709620.0877192,27706.1030866276,140.0,574.0,496.0,49.45141065830721,50.54858934169278,46.47335423197492,53.526645768025084
Alcocer de Planes,10,230.0,118.0,112.0,194.0,36.0,7768982.83164978,16099.0330777005,22.0,139.0,62.0,51.30434782608696,48.69565217391305,84.34782608695653,15.65217391304348
Alcoleja,10,185.0,95.0,90.0,178.0,7.0,23917290.9885559,24610.3842724215,13.0,96.0,55.0,51.35135135135135,48.64864864864865,96.21621621621622,3.783783783783784
Alcoy/Alcoi,10,59106.0,28836.0,30270.0,56056.0,3050.0,213421694.7258,77263.5875252324,9009.0,35594.0,10128.0,48.78692518526038,51.21307481473962,94.83977937942004,5.160220620579975
Alfafara,10,405.0,196.0,209.0,390.0,15.0,32614832.0011292,24095.0350637654,61.0,231.0,89.0,48.39506172839506,51.60493827160494,96.29629629629629,3.7037037037037033
"Alfàs del Pi, l'",10,18394.0,9084.0,9310.0,9854.0,8540.0,31631225.1116161,27080.0625133162,2788.0,10888.0,3610.0,49.38566923996955,50.61433076003045,53.571816896814184,46.42818310318582
Algorfa,10,2761.0,1380.0,1381.0,1396.0,1365.0,29493678.8989258,38230.4768860824,337.0,1391.0,874.0,49.98189061934082,50.01810938065918,50.56139080043462,49.43860919956538
Algueña,10,1372.0,683.0,689.0,1308.0,64.0,30013209.7721252,37691.5580981263,183.0,781.0,287.0,49.78134110787172,50.218658892128275,95.33527696793003,4.664723032069971
Alicante/Alacant,10,329988.0,160062.0,169926.0,289865.0,40123.0,328098053.630646,189827.477506179,51399.0,203606.0,51801.0,48.50540019637078,51.49459980362923,87.84107300871547,12.158926991284531
Almoradí,10,20332.0,10306.0,10026.0,15978.0,4354.0,40911267.7181702,40785.0665292378,3678.0,12384.0,2654.0,50.688569742278176,49.31143025772182,78.58548101514855,21.414518984851465
Almudaina,10,113.0,57.0,56.0,102.0,11.0,14529003.1403656,15808.4602263964,9.0,56.0,41.0,50.442477876106196,49.557522123893804,90.2654867256637,9.734513274336283
