Pueblo,Cod_CCAA,Población,Hombres,Mujeres,Españoles,Extranjeros,Area,Longuitud,menores,edad_laboral,jubilados,porcentaje_hombres,porcentaje_mujeres,porcenjate_españoles,poetentaje_extranjeros
Paterna,10,68547.0,33963.0,34584.0,63369.0,5178.0,61552097.7860565,43019.2078370768,12454.0,43057.0,7769.0,49.54702612805812,50.45297387194188,92.44605890848615,7.5539410915138525
Pedralba,10,2785.0,1465.0,1320.0,2277.0,508.0,99237325.9318848,44643.5313688552,376.0,1697.0,521.0,52.6032315978456,47.3967684021544,81.75942549371634,18.240574506283664
Petrés,10,968.0,480.0,488.0,905.0,63.0,3169189.66593933,8772.02152407656,159.0,584.0,168.0,49.586776859504134,50.413223140495866,93.49173553719008,6.508264462809918
Picanya,10,11278.0,5570.0,5708.0,10797.0,481.0,12058535.7756348,18885.1183363111,1808.0,7129.0,1581.0,49.38818939528285,50.61181060471714,95.7350594076964,4.264940592303599
Picassent,10,20658.0,10439.0,10219.0,19545.0,1113.0,143644829.018387,49599.9653969396,3346.0,12873.0,2868.0,50.53248136315229,49.467518636847714,94.61225675283184,5.387743247168167
Piles,10,2712.0,1350.0,1362.0,2351.0,361.0,6523759.33522797,10923.5376189334,423.0,1720.0,385.0,49.7787610619469,50.22123893805309,86.68879056047197,13.311209439528024
Pinet,10,159.0,78.0,81.0,149.0,10.0,19704568.7153778,21596.1333258987,13.0,98.0,42.0,49.056603773584904,50.943396226415096,93.71069182389937,6.289308176100629
Polinyà de Xúquer,10,2484.0,1257.0,1227.0,2352.0,132.0,15289908.9176941,27352.6297060536,375.0,1515.0,414.0,50.60386473429952,49.39613526570048,94.68599033816425,5.314009661835748
Potries,10,1013.0,516.0,497.0,959.0,54.0,5081016.46009827,12876.0433328442,113.0,655.0,186.0,50.93780848963475,49.06219151036525,94.66929911154985,5.330700888450148
"Pobla de Farnals, la",10,7747.0,3885.0,3862.0,6995.0,752.0,6069933.74676514,20057.7697668492,1231.0,4896.0,1154.0,50.1484445591842,49.8515554408158,90.29301665160708,9.706983348392926
"Pobla del Duc, la",10,2589.0,1255.0,1334.0,2192.0,397.0,31204236.3890228,34321.1519930902,334.0,1578.0,488.0,48.47431440710699,51.52568559289301,84.66589416763229,15.334105832367708
Puebla de San Miguel,10,62.0,39.0,23.0,62.0,0.0,108649809.706543,45257.2881674596,1.0,39.0,19.0,62.903225806451616,37.096774193548384,100.0,0.0
"Pobla de Vallbona, la",10,23684.0,11978.0,11706.0,22174.0,1510.0,55881424.3322144,43150.3936592383,4468.0,15195.0,2271.0,50.57422732646513,49.42577267353487,93.62438777233575,6.375612227664246
"Pobla Llarga, la",10,4493.0,2251.0,2242.0,4254.0,239.0,16776989.8650818,27730.6544747967,640.0,2752.0,777.0,50.10015579790785,49.89984420209214,94.68061428889384,5.319385711106165
"Puig de Santa Maria, el",10,8618.0,4200.0,4418.0,8151.0,467.0,45237387.6833954,35267.3858554835,1364.0,5251.0,1371.0,48.73520538407983,51.26479461592016,94.5811093061035,5.418890693896496
Puçol,10,19531.0,9639.0,9892.0,17672.0,1859.0,30555862.2333527,25851.9898624094,3311.0,12161.0,2671.0,49.35231170958988,50.64768829041012,90.48179816701654,9.518201832983463
Quesa,10,673.0,354.0,319.0,645.0,28.0,121658977.970795,87672.7096888013,84.0,361.0,179.0,52.60029717682021,47.39970282317979,95.83952451708767,4.160475482912332
Rafelbunyol,10,8870.0,4361.0,4509.0,8353.0,517.0,7050709.36523438,15812.1153766626,1442.0,5577.0,1152.0,49.16572717023675,50.83427282976325,94.17136414881624,5.8286358511837655
Rafelcofer,10,1375.0,669.0,706.0,1315.0,60.0,3365336.78639221,8285.33358618408,198.0,821.0,260.0,48.654545454545456,51.34545454545455,95.63636363636364,4.363636363636364
Rafelguaraf,10,2394.0,1183.0,1211.0,2304.0,90.0,26995074.2097321,37373.1810276732,368.0,1456.0,448.0,49.41520467836257,50.58479532163743,96.2406015037594,3.7593984962406015
Ráfol de Salem,10,425.0,205.0,220.0,402.0,23.0,7144590.08816528,16080.7895472633,55.0,241.0,76.0,48.23529411764706,51.76470588235295,94.58823529411765,5.411764705882352
Real de Gandía,10,2363.0,1149.0,1214.0,2201.0,162.0,10053274.7362595,14709.6345992213,403.0,1462.0,341.0,48.62462970799831,51.37537029200169,93.1443080829454,6.855691917054592
Real,10,2184.0,1114.0,1070.0,1948.0,236.0,30636673.0643005,28997.0491834953,337.0,1323.0,368.0,51.007326007326,48.99267399267399,89.1941391941392,10.805860805860807
Requena,10,20320.0,10140.0,10180.0,18718.0,1602.0,1366856792.24307,185157.583036177,3185.0,12095.0,3426.0,49.90157480314961,50.09842519685039,92.11614173228347,7.883858267716535
Riba-roja de Túria,10,21626.0,10961.0,10665.0,20326.0,1300.0,96713099.3024597,56434.0990925564,4102.0,13835.0,2311.0,50.6843614168131,49.3156385831869,93.98871728474984,6.011282715250162
Riola,10,1785.0,911.0,874.0,1733.0,52.0,9317153.17826843,18892.924096603,279.0,1068.0,308.0,51.03641456582633,48.963585434173666,97.08683473389355,2.9131652661064424
Rocafort,10,7004.0,3441.0,3563.0,6588.0,416.0,3949038.39237976,12931.874555745,1406.0,4327.0,805.0,49.1290691033695,50.8709308966305,94.06053683609366,5.93946316390634
Rotglà i Corberà,10,1108.0,557.0,551.0,1064.0,44.0,10435405.9308472,33429.2195452498,176.0,657.0,199.0,50.270758122743686,49.72924187725632,96.028880866426,3.9711191335740073
Rótova,10,1259.0,653.0,606.0,1217.0,42.0,12467594.0335999,16495.7137855668,148.0,770.0,255.0,51.86656076250993,48.13343923749007,96.66401906274821,3.3359809372517866
